,SDO_ID,Longitude,Latitude
187,3042,8.238629,50.561656
188,4127,7.695754,50.990623
189,4300,8.635558,48.181445
190,7341,8.786165,50.089944
191,5017,11.38883,50.400246
192,6263,8.821937,47.773774
193,4024,13.47709,54.36426
194,7075,11.849253,48.701956
195,856,12.540368,47.884257
196,2303,9.538997,54.314596
197,430,13.308848,52.564412
198,2290,11.010819,47.800869
199,6105,9.80512,54.319385
200,3509,13.042072,53.101974
201,3271,12.918911,48.85476
202,342,8.16943,52.317043
203,3975,11.53572,49.477716
204,3044,7.74721,52.719795
205,4464,11.804085,50.567906
206,5839,7.228703,53.388079
207,535,7.307861,50.037229
208,2985,14.209276,50.938331
209,1327,6.790489,50.711886
210,4323,7.883741,49.646838
211,4154,7.250539,51.179967
212,3226,11.510942,51.725946
213,314,14.504184,51.160383
214,13713,7.628924,51.089851
215,3946,12.130014,50.481883
216,2074,8.980031,48.375242
217,1504,9.279907,51.119021
218,3927,9.28693,47.934471
219,4978,10.022846,50.639028
220,4377,10.003372,50.351785
221,5664,8.239068,48.295324
222,1757,13.405565,54.096704
223,5856,13.353159,48.545114
224,151,11.854626,49.469061
225,6310,13.823906,54.104896
226,7431,11.552433,48.013027
227,1473,11.308043,49.186949
228,4039,9.87757,53.733089
229,2794,12.409342,52.936312
230,2708,11.080459,47.665187
231,7389,13.842702,52.746142
232,3668,11.054923,49.503031
233,1451,9.249276,53.827696
234,1684,14.950565,51.162151
235,2618,10.480262,50.845847
236,4841,8.873515,53.694589
237,7368,10.362107,51.000728
238,390,8.368331,50.983713
239,3155,6.800909,50.101542
240,3028,8.838795,51.785416
241,1052,12.164088,52.217417
242,6337,7.519387,51.766342
243,6266,10.962603,52.030421
244,1214,8.10884,48.201207
245,330,8.967329,49.561729
246,3278,9.273366,48.537658
247,3287,9.099719,49.717685
248,2641,12.9065,51.518534
249,4887,9.864791,48.665587
250,15207,9.358959,51.283452
251,5149,10.191544,49.574055
252,7331,10.267397,48.609888
253,5009,12.557403,53.761044
254,7350,12.823114,49.108809
255,1103,11.987202,48.100334
256,2437,9.520316,54.45696
257,303,13.499695,52.061327
258,2480,8.992973,50.064347
259,460,6.68677,49.264065
260,5546,12.458539,52.120651
261,3366,12.502407,48.278982
262,662,10.446448,52.291469
263,7427,9.925507,54.018844
264,3348,9.83518,51.720864
265,4605,11.193618,50.64406
266,6159,7.319582,52.954182
267,1072,8.192896,49.471913
268,2110,6.104239,51.041072
269,5099,6.613147,49.732632
270,4692,7.996614,50.853381
271,4036,11.541221,51.389498
272,5433,6.811951,49.553365
273,6129,14.42662,51.059345
274,2638,8.754788,48.105397
275,1645,9.050014,50.965565
276,722,10.61828,51.798615
277,4169,7.993861,48.670276
278,5300,8.360676,50.259603
279,4592,12.087053,49.327835
280,6258,9.440903,47.684486
281,2201,13.104393,54.574957
282,6312,10.641826,49.531414
283,217,11.364282,47.877428
284,1266,9.316185,54.299212
285,400,13.50215,52.630941
286,1721,11.223886,49.66399
287,4896,9.805022,54.665383
288,3015,14.117973,52.208491
289,2829,10.914394,48.077199
290,4336,7.107712,49.212803
291,44,8.237038,52.933597
